"Mean Hourly Temperature (°C) for all sites, 01/01/14 thru 12/31/14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Bald Mesa,Beaver Basin,Burro Pass Tr,Dry Fk Mill Cr,E Mt Peale,Geyser Pass,Gold Basin,Grandview,Horse Cr,La Sal Pass,L. Beaver,Mellenthin Meadows,Moonlight Meadows,Mt Mellenthin,N Peale RG,Wet Fk Mill Cr,Upper Dk Can,Upper Dk Can 2,Boren Mesa,Brumley Ridge,Chicken Creek,Clarks Lake,Dinosaur Tracks,East Dark Canyon,Hwy 46 La Sal,Lower Geyser Pass Rd,La Sal Pass Junction,South Beaver Mesa,Warner Meadows,Mellenthin Ridge,Burro Pass,Horse Creek barologger
Logger S/N,532797,532798,533551,555505,533560,555501,441384,555497,532800,555506,710738,733937,625100,555494,532801,555502,555498,710739,733938,1001871,1001873,733939,625102,1001872,984395,733937,1001874,710736,733935,555498,532798,1094012
Elevation (m),2707.00,3378,3329,3232,3073,3207,3186,2204,3037,3091,3125,3195,3280,3445,3223,2988,3518,3512,2866,2354,2473,2863,2598,3253,2317,2503,2377,2537,2869,3375,3412,3037
Date/Time,BMS,UBB,BPT,DFM,EMP,GEP,GOB,GRV,HCR,LSP,LBB,MEM,MOM,MEL,NPE,WFM,UDC,UD2,BOR,BRR,CCR,CLK,DIN,EDC,HWY,LGP,LPJ,SBM,WME,MER,BPA,HCB
01/01/14 00:00,-1.90,,-5.73,,-4.01,-5.39,-4.42,2.53,-4.01,-4.17,,,-5.48,-4.82,-4.58,,,,-2.52,0.36,-0.91,-3.06,-1.67,-4.90,-2.51,,-2.28,,-2.21,-6.31,-6.82,-3.43
01/01/14 01:00,-2.59,,-5.98,,-4.33,-5.81,-4.98,2.25,-4.66,-4.98,,,-6.06,-4.82,-4.82,,,,-3.21,-0.46,-1.36,-4.17,-1.97,-5.31,-3.29,,-2.52,,-2.98,-6.57,-7.25,-3.61
01/01/14 02:00,-2.98,,-6.31,,-4.58,-6.31,-5.48,1.23,-6.14,-5.64,,,-6.82,-4.82,-5.15,,,,-3.37,-1.29,-1.51,-5.48,-1.90,-5.31,-3.45,,-3.77,,-3.37,-6.57,-7.85,-3.91
01/01/14 03:00,-3.45,,-6.48,,-4.82,-6.74,-5.97,1.31,-6.31,-5.81,,,-6.82,-4.82,-5.23,,,,-3.77,-1.74,-1.82,-6.06,-2.59,-5.31,-3.93,,-3.69,,-3.85,-6.82,-7.94,-5.25
01/01/14 04:00,-3.21,,-6.48,,-4.82,-6.82,-6.31,1.46,-5.64,-5.81,,,-6.82,-4.82,-5.39,,,,-3.85,-0.91,-1.97,-6.06,-3.21,-5.48,-5.07,,-3.06,,-3.45,-6.82,-7.85,-6.75
01/01/14 05:00,-3.45,,-7.25,,-5.56,-6.82,-6.82,0.66,-5.56,-5.98,,,-7.08,-4.82,-6.23,,,,-4.33,-0.24,-2.44,-4.82,-3.37,-6.57,-5.15,,-3.30,,-3.77,-7.59,-8.38,-6.25
01/01/14 06:00,-4.66,,-8.03,,-6.48,-7.50,-6.31,-0.46,-5.98,-6.57,,,-7.77,-4.82,-7.08,,,,-5.23,-0.91,-3.37,-4.82,-4.17,-7.59,-2.68,,-3.46,,-4.25,-8.65,-9.09,-5.56
01/01/14 07:00,-5.89,,-8.29,,-6.82,-8.29,-5.48,-1.59,-7.51,-7.59,,,-8.82,-4.82,-6.74,,,,-5.89,-2.13,-4.74,-6.48,-5.23,-7.76,-2.59,,-5.40,,-5.81,-8.91,-9.74,-5.68
01/01/14 08:00,-4.26,,-6.74,,-5.73,-6.49,-6.23,-1.44,-9.00,-5.90,,,-8.12,-4.82,-4.98,,,,-5.56,-1.89,-3.78,-8.20,-2.68,-5.81,-1.75,,-0.67,,-5.73,-7.34,-9.46,-6.57
01/01/14 09:00,-1.82,,-5.56,,-4.42,-5.48,-5.89,-1.36,-9.10,-4.74,,,-6.48,-4.82,-4.49,,,,-4.42,-0.39,-0.76,-7.77,-0.99,-5.23,0.50,,4.76,,-3.78,-6.57,-7.16,-8.85
01/01/14 10:00,-0.16,,-4.10,,-3.30,-4.90,-6.06,-0.39,-7.34,-4.66,,,-4.74,-4.82,-4.09,,,,-3.29,1.81,0.73,-5.73,3.73,-4.58,2.39,,5.06,,0.06,-5.81,-6.65,-9.80
01/01/14 11:00,1.31,,-2.90,,-2.44,-4.41,-6.23,1.74,-5.56,-4.09,,,-3.61,-4.82,-3.37,,,,-2.67,4.29,1.67,-3.77,8.83,-3.61,3.53,,5.12,,0.58,-5.31,-6.65,-8.85
01/01/14 12:00,2.39,,-2.13,,-2.21,-3.85,-6.23,2.39,-4.49,-3.93,,,-2.98,-4.82,-3.30,,,,-1.97,4.57,2.17,-3.45,7.73,-2.75,4.02,,4.78,,0.44,-5.31,-6.74,-6.38
01/01/14 13:00,2.39,,-1.66,,-1.51,-1.75,-5.89,3.31,-4.09,-3.85,,,-2.90,-4.82,-3.85,,,,-1.44,4.57,2.68,-3.06,2.75,-2.82,4.57,,4.50,,1.82,-5.31,-5.98,-4.58
01/01/14 14:00,1.02,,-2.05,,-1.90,-3.30,-6.23,2.89,-4.33,-4.09,,,-2.13,-4.82,-3.77,,,,-1.29,3.45,3.24,-3.14,1.31,-2.44,4.64,,4.36,,1.67,-5.31,-5.98,-3.73
01/01/14 15:00,0.80,,-4.99,,-3.29,-4.09,-6.14,3.17,-5.65,-4.74,,,-2.75,-4.82,-3.85,,,,-1.82,1.74,2.53,-4.99,-0.16,-3.23,4.15,,2.67,,0.07,-5.81,-7.50,-3.55
01/01/14 16:00,-0.24,,-6.31,,-4.09,-5.40,-5.97,2.67,-7.33,-5.89,,,-4.82,-4.82,-3.93,,,,-2.28,0.43,1.17,-6.74,-2.13,-4.82,1.52,,1.09,,-0.84,-6.06,-8.91,-4.27
01/01/14 17:00,-3.38,,-6.82,,-4.90,-6.91,-6.40,0.29,-8.83,-6.99,,,-6.74,-4.82,-4.17,,,,-3.21,-1.22,-2.14,-8.38,-4.09,-4.98,-1.67,,-2.91,,-3.78,-6.06,-9.46,-6.50
01/01/14 18:00,-4.58,,-6.40,,-5.56,-7.08,-6.23,0.14,-10.19,-7.33,,,-7.08,-4.82,-4.25,,,,-3.85,-1.59,-4.17,-9.64,-4.41,-5.31,-3.06,,-4.58,,-4.82,-6.31,-9.00,-8.52
01/01/14 19:00,-4.49,,-6.31,,-5.89,-7.08,-6.31,-0.01,-11.04,-7.59,,,-7.08,-4.82,-4.33,,,,-3.85,-1.97,-5.48,-10.75,-3.93,-5.31,-4.01,,-5.31,,-5.31,-6.31,-8.47,-10.29
01/01/14 20:00,-4.90,,-6.48,,-6.06,-7.59,-5.89,-0.24,-11.42,-7.59,,,-7.50,-4.82,-3.93,,,,-3.93,-1.67,-6.15,-11.42,-4.33,-5.23,-4.90,,-5.98,,-5.73,-6.06,-8.56,-11.70
01/01/14 21:00,-5.15,,-5.98,,-6.31,-7.59,-4.82,-0.46,-12.00,-8.20,,,-7.16,-4.82,-3.85,,,,-3.93,-2.90,-6.74,-12.09,-4.49,-5.07,-5.31,,-6.23,,-6.06,-5.56,-8.38,-12.36
01/01/14 22:00,-4.33,,-5.73,,-6.31,-8.20,-2.83,-0.84,-12.29,-8.65,,,-7.85,-4.82,-3.61,,,,-4.09,-3.14,-6.82,-12.39,-4.82,-4.98,-5.39,,-6.31,,-6.23,-6.06,-8.38,-12.73
01/01/14 23:00,-4.41,,-5.39,,-6.31,-8.47,-2.28,-1.21,-12.59,-8.91,,,-6.82,-4.82,-3.61,,,,-3.85,-3.37,-7.50,-12.88,-4.90,-4.82,-5.48,,-6.82,,-6.31,-6.57,-7.94,-13.03
01/02/14 00:00,-4.09,,-5.56,,-5.56,-7.51,-2.28,-1.59,-12.88,-8.03,,,-6.23,-4.82,-3.37,,,,-3.85,-3.45,-7.85,-12.98,-4.98,-4.82,-6.23,,-6.82,,-6.31,-6.06,-7.33,-13.26
01/02/14 01:00,-4.25,,-5.31,,-5.73,-4.74,-3.61,-1.59,-12.88,-6.91,,,-6.31,-4.82,-3.53,,,,-3.85,-4.09,-7.94,-12.88,-4.74,-4.82,-7.16,,-6.99,,-5.56,-5.81,-6.82,-13.49
01/02/14 02:00,-4.33,,-5.31,,-5.48,-5.81,-4.58,-0.99,-12.88,-6.91,,,-5.89,-4.82,-3.37,,,,-3.69,-3.85,-7.85,-12.88,-4.41,-4.41,-7.25,,-7.16,,-5.89,-5.56,-7.08,-13.56
01/02/14 03:00,-3.93,,-4.98,,-5.73,-5.98,-3.61,-0.99,-12.88,-5.98,,,-5.73,-4.82,-3.37,,,,-3.21,-3.06,-8.12,-12.88,-4.17,-4.01,-7.33,,-7.68,,-6.06,-4.82,-6.99,-13.56
01/02/14 04:00,-3.77,,-5.23,,-4.74,-6.91,-3.37,-1.97,-12.59,-6.15,,,-6.40,-4.82,-3.06,,,,-3.37,-3.14,-8.65,-12.88,-4.58,-3.61,-6.82,,-7.42,,-5.81,-4.09,-7.08,-13.49
01/02/14 05:00,-3.14,,-5.98,,-4.33,-7.76,-3.37,-2.13,-12.29,-7.68,,,-7.33,-4.82,-2.90,,,,-3.37,-2.29,-8.38,-12.88,-4.74,-3.69,-6.65,,-7.25,,-6.40,-4.58,-8.20,-13.18
01/02/14 06:00,-2.91,,-6.14,,-4.01,-7.85,-3.61,-2.90,-12.29,-8.20,,,-7.68,-4.82,-3.21,,,,-3.69,-1.89,-8.29,-12.88,-4.17,-3.61,-7.08,,-6.65,,-6.82,-5.07,-8.56,-12.88
01/02/14 07:00,-2.90,,-6.23,,-4.09,-7.94,-3.69,-1.74,-12.29,-8.65,,,-7.59,-4.82,-3.45,,,,-3.37,-1.97,-7.42,-12.98,-3.85,-3.45,-6.57,,-6.82,,-6.82,-4.82,-8.38,-12.73
01/02/14 08:00,-0.84,,-5.56,,-3.14,-7.50,-3.61,-2.28,-11.90,-7.51,,,-7.42,-4.82,-2.75,,,,-3.21,-1.44,-4.84,-12.39,-1.21,-2.90,-2.84,,0.00,,-6.23,-4.09,-7.94,-12.51
01/02/14 09:00,1.81,,-4.25,,-1.90,-6.31,-3.53,-2.52,-11.23,-6.06,,,-6.65,-4.82,-1.67,,,,-2.44,-0.09,-0.40,-11.32,-0.61,-2.36,1.02,,5.18,,-4.43,-3.61,-6.91,-12.51
01/02/14 10:00,4.09,,-2.99,,-0.46,-4.18,-3.93,-1.15,-9.46,-4.50,,,-4.26,-4.82,-0.76,,,,-0.69,3.45,2.39,-9.83,5.92,-1.74,3.73,,5.33,,1.23,-2.67,-5.73,-11.78
01/02/14 11:00,5.95,,-1.29,,0.58,-2.21,-3.53,1.24,-6.66,-2.83,,,-1.82,-4.82,-1.06,,,,0.07,5.94,3.38,-7.00,12.67,-0.84,5.40,,5.53,,2.17,-2.44,-4.58,-10.64
01/02/14 12:00,6.76,,-0.61,,0.58,-1.36,-4.09,1.96,-4.09,-2.21,,,-0.69,-4.82,-1.14,,,,1.10,6.82,4.29,-4.82,9.14,0.95,5.88,,6.28,,3.03,-1.97,-3.85,-7.92
01/02/14 13:00,6.82,,-0.31,,0.87,0.57,-4.66,3.38,-3.37,-1.97,,,0.21,-4.82,-1.51,,,,1.60,6.83,4.78,-3.77,5.60,1.60,6.02,,6.42,,4.36,-1.74,-3.69,-4.77
01/02/14 14:00,4.29,,-1.90,,-0.39,-1.51,-4.98,2.17,-3.69,-2.13,,,-1.36,-4.82,-1.51,,,,0.58,5.47,3.66,-3.77,4.70,0.51,7.36,,6.69,,1.89,-2.21,-4.25,-2.32
01/02/14 15:00,5.19,,-3.29,,-0.69,-1.66,-5.72,2.75,-3.53,-2.52,,,-1.14,-4.82,-1.51,,,,1.31,5.94,4.64,-3.45,2.46,-0.02,5.81,,6.01,,2.03,-2.21,-4.98,-2.38
01/02/14 16:00,1.59,,-4.01,,-1.67,-2.90,-5.97,0.94,-4.99,-3.29,,,-2.91,-4.82,-1.66,,,,-0.01,3.38,2.74,-4.74,0.21,-1.97,2.24,,2.74,,0.06,-2.67,-5.81,-2.32
01/02/14 17:00,-1.67,,-4.09,,-2.36,-4.33,-6.65,-0.39,-6.48,-4.50,,,-4.41,-4.82,-1.89,,,,-1.44,0.58,-1.07,-6.48,-2.36,-1.97,-1.75,,-1.67,,-2.75,-3.37,-6.06,-3.02
01/02/14 18:00,-2.36,,-4.74,,-2.21,-4.98,-8.03,-1.14,-7.77,-5.31,,,-4.82,-4.82,-2.36,,,,-1.97,-0.31,-3.06,-7.68,-3.14,-2.13,-2.75,,-3.61,,-3.69,-3.85,-6.31,-5.44
01/02/14 19:00,-2.52,,-5.31,,-1.89,-4.82,-9.10,-1.06,-8.73,-5.48,,,-4.82,-4.82,-2.28,,,,-2.05,-0.39,-3.53,-8.92,-4.01,-2.36,-2.44,,-3.85,,-4.17,-3.61,-6.82,-7.01
01/02/14 20:00,-2.52,,-6.14,,-2.21,-5.48,-10.01,-0.39,-9.28,-5.81,,,-5.48,-4.82,-3.22,,,,-1.97,-0.16,-4.09,-9.74,-3.77,-2.44,-3.06,,-3.69,,-3.93,-3.61,-7.42,-8.51
01/02/14 21:00,-2.36,,-6.82,,-2.44,-5.81,-12.29,-1.06,-9.46,-5.81,,,-5.81,-4.82,-3.69,,,,-1.66,-0.16,-4.90,-10.56,-4.33,-2.52,-3.53,,-4.33,,-4.01,-3.85,-7.76,-9.46
01/02/14 22:00,-2.36,,-6.48,,-2.21,-5.73,-14.00,-1.59,-9.74,-6.40,,,-5.81,-4.82,-2.36,,,,-1.89,-0.46,-4.17,-10.94,-3.77,-2.44,-3.53,,-4.01,,-4.33,-4.09,-7.16,-9.73
01/02/14 23:00,-2.13,,-6.31,,-2.75,-6.06,-15.15,-1.82,-10.01,-6.82,,,-5.81,-4.33,-1.59,,,,-1.89,-0.91,-4.58,-11.13,-4.17,-2.44,-3.45,,-4.01,,-4.33,-3.85,-6.40,-10.08
01/03/14 00:00,-1.82,,-6.40,,-2.75,-5.81,-15.26,-2.28,-10.01,-7.08,,,-5.89,-4.33,-1.29,,,,-1.51,-1.44,-4.82,-11.13,-5.07,-2.44,-4.41,,-4.66,,-4.49,-3.85,-6.65,-10.21
01/03/14 01:00,-2.05,,-6.31,,-2.44,-5.89,-14.83,-2.21,-10.01,-6.82,,,-5.81,-4.33,-1.14,,,,-1.74,-1.14,-5.56,-11.23,-5.89,-2.44,-4.74,,-4.74,,-4.41,-4.33,-6.31,-10.14
01/03/14 02:00,-2.59,,-6.40,,-2.44,-5.81,-14.73,-2.44,-10.01,-6.82,,,-5.81,-4.33,-1.06,,,,-1.74,-1.82,-5.81,-11.51,-5.56,-2.28,-4.90,,-4.74,,-4.41,-4.33,-6.31,-10.35
01/03/14 03:00,-2.59,,-6.31,,-2.44,-6.23,-14.83,-2.21,-10.01,-6.82,,,-6.06,-4.33,-1.06,,,,-1.74,-1.82,-6.31,-11.61,-5.48,-1.97,-5.31,,-5.56,,-4.33,-4.82,-6.31,-10.35
01/03/14 04:00,-2.67,,-6.40,,-2.44,-6.31,-15.37,-1.97,-10.01,-6.82,,,-6.31,-4.33,-1.14,,,,-1.97,-1.89,-6.40,-11.61,-4.82,-2.44,-5.23,,-5.98,,-4.25,-4.82,-6.57,-10.28
01/03/14 05:00,-3.53,,-5.07,,-2.44,-6.31,-15.37,-2.44,-10.01,-7.25,,,-6.31,-4.33,-0.69,,,,-2.21,-1.89,-6.74,-11.32,-4.09,-2.21,-4.90,,-6.48,,-4.49,-4.33,-6.82,-10.21
01/03/14 06:00,-3.53,,-4.90,,-2.13,-6.31,-15.48,-2.82,-10.01,-7.68,,,-6.65,-4.33,-0.61,,,,-2.44,-1.21,-6.14,-11.70,-5.15,-1.97,-4.74,,-6.91,,-4.98,-3.85,-7.25,-10.21
01/03/14 07:00,-3.29,,-4.98,,-1.97,-6.23,-16.35,-2.67,-10.01,-7.59,,,-6.82,-4.33,-0.91,,,,-2.90,-1.06,-6.65,-11.70,-5.73,-1.97,-5.31,,-6.99,,-5.23,-3.85,-7.25,-10.28
01/03/14 08:00,-0.78,,-4.25,,-1.44,-5.73,-16.68,-3.29,-10.01,-6.91,,,-6.74,-4.33,-0.84,,,,-2.82,-0.76,-4.28,-11.42,-1.16,-1.66,-3.16,,-1.17,,-4.82,-3.85,-6.57,-10.28
01/03/14 09:00,2.32,,-3.45,,-0.24,-4.42,-17.37,-2.67,-9.46,-5.98,,,-5.98,-4.33,-0.54,,,,-1.44,1.81,-0.01,-10.29,0.87,-1.06,1.16,,5.05,,-2.52,-3.14,-5.89,-10.42
01/03/14 10:00,3.59,,-1.45,,0.80,-2.75,-18.41,-1.30,-7.60,-4.18,,,-3.70,-4.33,-0.01,,,,-0.01,4.78,1.82,-8.56,5.31,-0.09,3.24,,4.71,,2.10,-2.21,-4.98,-10.01
01/03/14 11:00,4.36,,-0.01,,1.74,-1.44,-18.65,0.80,-5.40,-2.44,,,-1.21,-4.33,0.29,,,,0.07,6.56,2.67,-6.31,12.02,0.66,4.71,,4.85,,2.46,-1.51,-4.25,-8.98
01/03/14 12:00,4.36,,0.36,,1.82,-0.91,-18.06,1.02,-3.53,-1.97,,,-0.39,-4.33,0.06,,,,0.73,7.16,3.45,-4.74,9.01,1.74,4.64,,5.12,,2.67,-1.51,-3.61,-5.81
01/03/14 13:00,4.43,,0.07,,2.03,0.65,-18.06,1.60,-2.75,-1.97,,,0.07,-4.33,-1.21,,,,1.74,6.42,3.95,-3.45,5.94,1.67,5.67,,5.54,,4.22,-1.51,-3.53,-3.80
01/03/14 14:00,3.81,,-0.24,,1.02,-1.14,-18.29,1.82,-2.90,-2.28,,,0.07,-4.33,-1.14,,,,1.24,6.22,4.01,-3.37,5.12,1.39,6.22,,5.40,,4.01,-1.74,-3.93,-1.80
01/03/14 15:00,2.82,,-3.14,,-0.24,-1.97,-18.77,2.96,-3.37,-3.21,,,-0.46,-4.33,-1.74,,,,0.88,4.91,3.95,-4.34,4.50,0.42,5.26,,3.94,,2.53,-2.67,-5.56,-1.51
