"Mean Hourly Temperature (°C) for all sites, 01/01/03 thru 12/31/03",,,,,,,,,,,,,,,,,,
Location,Bald Mesa,Beaver Basin,Burro Pass Tr,Dry Fk Mill Cr,E Mt Peale,Geyser Pass,Gold Basin,Grandview,Horse Cr,La Sal Pass,L. Beaver,Mellenthin Meadows,Moonlight Meadows,Mt Mellenthin,N Peale RG,Wet Fk Mill Cr,Upper Dk Can,Upper Dk Can 2
Logger S/N,532797,532798,533551,555505,533560,555501,441384,555497,532800,555506,710738,695788,625100,555494,532801,555502,555498,710739
Elevation (m),2707.00,3378,3329,3232,3073,3207,3186,2204,3037,3091,3125,3195,3280,3445,3223,2988,3518,3512
Date/Time,BMS,UBB,BPT,DFM,EMP,GEP,GOB,GRV,HCR,LSP,LBB,MEM,MOM,MEL,NPE,WFM,UDC,UD2
01/01/03 00:00,-8.74,-12.59,-12.29,-11.70,-10.56,-11.70,-11.32,-4.01,-10.01,-10.75,,,,-12.88,-11.13,-10.01,,
01/01/03 01:00,-9.10,-12.78,-12.29,-11.70,-10.56,-11.70,-11.32,-3.85,-10.01,-10.66,,,,-12.88,-11.32,-10.01,,
01/01/03 02:00,-9.37,-12.88,-12.29,-11.80,-11.13,-11.70,-11.70,-4.49,-10.10,-11.13,,,,-12.98,-11.70,-10.01,,
01/01/03 03:00,-9.64,-13.08,-12.49,-12.00,-11.32,-12.09,-12.09,-5.40,-11.04,-11.42,,,,-13.29,-10.85,-11.32,,
01/01/03 04:00,-9.64,-12.59,-11.80,-11.32,-11.51,-11.32,-12.19,-5.64,-12.89,-10.75,,,,-12.59,-10.10,-10.56,,
01/01/03 05:00,-8.47,-11.90,-11.70,-10.85,-10.66,-11.13,-11.32,-3.93,-12.11,-10.19,,,,-12.29,-9.64,-10.10,,
01/01/03 06:00,-7.94,-11.70,-11.70,-10.56,-10.56,-10.94,-12.00,-3.77,-10.47,-11.51,,,,-12.39,-10.01,-9.55,,
01/01/03 07:00,-7.94,-11.70,-11.42,-10.56,-10.01,-10.56,-11.90,-3.77,-10.19,-12.19,,,,-12.29,-10.38,-9.37,,
01/01/03 08:00,-6.91,-11.70,-11.13,-10.56,-9.55,-10.47,-10.85,-3.37,-10.38,-11.61,,,,-12.00,-10.01,-8.91,,
01/01/03 09:00,-6.74,-11.51,-10.75,-10.01,-9.00,-9.83,-10.10,-2.75,-9.28,-10.75,,,,-11.70,-9.74,-8.47,,
01/01/03 10:00,-4.99,-11.13,-9.64,-9.92,-8.20,-9.37,-10.01,-2.44,-8.12,-10.10,,,,-11.32,-8.65,-8.12,,
01/01/03 11:00,-4.50,-10.66,-8.12,-9.46,-6.91,-8.82,-9.28,-1.36,-7.33,-8.38,,,,-10.48,-7.85,-7.08,,
01/01/03 12:00,-3.37,-10.56,-7.16,-9.28,-6.40,-8.38,-9.28,-0.54,-7.33,-7.59,,,,-10.19,-5.74,-5.56,,
01/01/03 13:00,-2.90,-10.56,-5.81,-8.91,-5.89,-6.65,-9.55,-0.54,-7.42,-7.42,,,,-10.66,-9.09,-5.73,,
01/01/03 14:00,-2.98,-10.94,-6.14,-8.91,-6.91,-7.17,-9.46,0.21,-7.50,-7.42,,,,-11.32,-9.83,-4.90,,
01/01/03 15:00,-3.77,-11.13,-9.19,-8.82,-7.59,-8.74,-9.55,0.66,-8.03,-7.85,,,,-12.00,-10.85,-6.74,,
01/01/03 16:00,-4.58,-11.61,-10.48,-9.74,-8.83,-9.55,-10.47,0.36,-9.92,-9.10,,,,-12.29,-12.49,-8.83,,
01/01/03 17:00,-6.91,-11.51,-11.80,-9.83,-9.92,-10.75,-11.51,-2.20,-11.61,-9.83,,,,-12.68,-12.29,-10.48,,
01/01/03 18:00,-6.82,-11.04,-12.19,-9.64,-10.94,-11.42,-12.29,-1.36,-12.59,-10.48,,,,-13.49,-13.50,-10.57,,
01/01/03 19:00,-7.42,-10.94,-12.39,-9.92,-11.42,-11.51,-12.59,-2.36,-13.90,-12.00,,,,-13.59,-15.26,-11.61,,
