"Mean Hourly Temperature (°C) for all sites, 01/01/04 thru 12/31/04",,,,,,,,,,,,,,,,,,
Location,Bald Mesa,Beaver Basin,Burro Pass Tr,Dry Fk Mill Cr,E Mt Peale,Geyser Pass,Gold Basin,Grand-view,Horse Cr,La Sal Pass,L. Beaver,Mellenthin Meadows,Moonlight Meadows,Mt Mellenthin,N Peale RG,Wet Fk Mill Cr,Upper Dk Can,Upper Dk Can 2
Logger S/N,532797,532798,533551,555505,533560,555501,441384,555497,532800,555506,710738,695788,625100,555494,532801,555502,555498,710739
Elevation (m),2707.00,3378,3329,3232,3073,3207,3186,2204,3037,3091,3125,3195,3280,3445,3223,2988,3518,3512
Date/Time,BMS,UBB,BPT,DFM,EMP,GEP,GOB,GRV,HCR,LSP,LBB,MEM,MOM,MEL,NPE,WFM,UDC,UD2
01/01/04 00:00,-4.82,,-10.19,-9.46,-8.38,-9.46,,0.95,-7.85,-10.01,,,,-10.56,-7.85,-8.91,,
01/01/04 01:00,-5.15,,-10.85,-9.55,-8.38,-9.74,,1.10,-7.94,-10.01,,,,-10.94,-8.20,-9.00,,
01/01/04 02:00,-6.06,,-11.61,-10.19,-8.82,-10.01,,0.73,-8.83,-10.47,,,,-11.13,-8.56,-9.55,,
01/01/04 03:00,-5.64,,-11.70,-10.29,-9.00,-10.01,,0.51,-8.74,-10.56,,,,-11.32,-8.91,-9.55,,
01/01/04 04:00,-5.39,,-11.70,-10.29,-9.28,-10.29,,-0.01,-8.47,-10.56,,,,-11.70,-8.91,-9.46,,
01/01/04 05:00,-5.39,,-11.51,-10.56,-8.91,-10.47,,-0.16,-8.91,-10.56,,,,-11.23,-8.91,-9.46,,
01/01/04 06:00,-5.81,,-11.61,-10.56,-9.01,-10.56,,-0.16,-8.91,-10.66,,,,-11.13,-8.91,-9.83,,
01/01/04 07:00,-6.06,,-11.70,-10.66,-10.48,-10.56,,-0.16,-8.91,-11.32,,,,-11.13,-8.91,-10.01,,
01/01/04 08:00,-5.15,,-11.13,-10.29,-10.66,-9.74,,-0.61,-8.29,-10.57,,,,-10.19,-8.03,-9.92,,
01/01/04 09:00,-3.31,,-9.65,-8.56,-9.28,-8.12,,-0.54,-6.99,-10.01,,,,-9.19,-7.16,-8.47,,
01/01/04 10:00,-2.05,,-8.29,-8.38,-7.59,-7.76,,0.21,-6.31,-9.28,,,,-9.37,-6.82,-7.50,,
01/01/04 11:00,-1.74,,-8.03,-7.76,-7.33,-7.25,,1.17,-5.98,-8.38,,,,-8.91,-6.57,-6.82,,
01/01/04 12:00,-1.66,,-7.33,-7.68,-6.74,-7.16,,1.96,-5.81,-8.12,,,,-9.37,-6.82,-6.23,,
01/01/04 13:00,-1.90,,-7.08,-6.82,-6.57,-6.57,,2.39,-5.23,-7.50,,,,-8.65,-6.48,-5.23,,
01/01/04 14:00,-2.75,,-7.16,-7.25,-7.08,-6.65,,2.39,-5.64,-7.68,,,,-8.20,-6.74,-5.64,,
01/01/04 15:00,-3.21,,-7.59,-7.68,-7.50,-6.99,,2.53,-5.81,-7.94,,,,-8.38,-7.33,-6.14,,
01/01/04 16:00,-3.37,,-7.85,-7.50,-7.85,-6.99,,2.10,-5.81,-8.03,,,,-8.73,-7.68,-6.31,,
01/01/04 17:00,-3.14,,-7.85,-7.42,-7.68,-7.08,,1.60,-5.64,-7.50,,,,-8.65,-7.50,-6.06,,
01/01/04 18:00,-2.90,,-7.33,-6.82,-7.33,-6.74,,1.39,-5.31,-6.91,,,,-8.03,-7.59,-5.48,,
01/01/04 19:00,-2.75,,-7.59,-7.08,-6.99,-6.74,,1.67,-5.31,-6.48,,,,-8.20,-6.99,-5.56,,
01/01/04 20:00,-2.98,,-7.25,-6.82,-6.65,-6.65,,2.03,-5.31,-6.31,,,,-7.85,-6.82,-5.48,,
01/01/04 21:00,-3.29,,-6.82,-6.82,-6.31,-6.31,,2.03,-5.31,-5.81,,,,-7.68,-6.74,-5.31,,
