"Mean Hourly Temperature (°C) for all sites, 01/01/06 thru 12/31/06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Bald Mesa,Beaver Basin,Burro Pass Tr,Dry Fk Mill Cr,E Mt Peale,Geyser Pass,Gold Basin,Grand-view,Horse Cr,La Sal Pass,L. Beaver,Mellenthin Meadows,Moonlight Meadows,Mt Mellenthin,N Peale RG,Wet Fk Mill Cr,Upper Dk Can,Upper Dk Can 2,Boren Mesa,Brumley Ridge,Chicken Creek,Clark Lake,Dinosaur Tracks,East Dark Canyon,Hwy 46 La Sal,Lower Geyser Pass Rd,La Sal Pass Junction,South Beaver Mesa,Warner Meadows
Logger S/N,532797,532798,533551,555505,533560,555501,441384,555497,532800,555506,710738,695788,625100,555494,532801,555502,555498,710739,733938,1001871,1001873,733939,625102,1001872,984395,733937,1001874,710736,733935
Elevation (m),2707.00,3378,3329,3232,3073,3207,3186,2204,3037,3091,3125,3195,3280,3445,3223,2988,3518,3512,2866,2354,2473,2863,2598,3253,2317,2503,2377,2537,2869
Date/Time,BMS,UBB,BPT,DFM,EMP,GEP,GOB,GRV,HCR,LSP,LBB,MEM,MOM,MEL,NPE,WFM,UDC,UD2,BOR,BRR,CCR,CLK,DIN,EDC,HWY,LGP,LPJ,SBM,WME
01/01/06 00:00:00.0,-0.39,-4.82,-4.17,-3.85,-3.29,-3.85,-3.85,4.01,-2.44,-4.01,-2.52,-3.37,-4.25,-4.90,-3.37,-2.44,,-3.37,,,,,,,,,,,
01/01/06 01:00:00.0,-0.46,-5.15,-4.66,-4.25,-3.37,-4.25,-4.25,3.52,-2.98,-4.58,-3.14,-3.85,-4.58,-5.31,-3.85,-2.82,,-3.37,,,,,,,,,,,
01/01/06 02:00:00.0,-1.74,-5.56,-4.98,-4.66,-3.77,-4.66,-4.74,1.46,-3.61,-4.98,-3.61,-4.33,-4.98,-5.89,-4.25,-3.29,,-3.21,,,,,,,,,,,
01/01/06 03:00:00.0,-2.36,-6.65,-5.81,-5.64,-4.66,-5.64,-5.56,0.80,-4.25,-5.31,-4.66,-5.39,-5.73,-6.74,-5.23,-4.09,,-2.98,,,,,,,,,,,
01/01/06 04:00:00.0,-2.90,-6.91,-6.40,-5.81,-4.82,-5.89,-5.98,0.22,-4.49,-5.81,-4.82,-5.81,-5.98,-7.33,-5.39,-4.33,,-3.37,,,,,,,,,,,
01/01/06 05:00:00.0,-3.14,-7.42,-6.82,-6.23,-5.31,-6.40,-6.40,-0.16,-4.82,-6.57,-5.31,-6.06,-6.40,-7.76,-5.89,-4.82,,-3.37,,,,,,,,,,,
01/01/06 06:00:00.0,-3.85,-7.85,-7.25,-6.82,-5.81,-6.91,-6.99,-0.46,-5.39,-6.82,-5.73,-6.65,-6.99,-8.12,-6.40,-5.39,,-3.37,,,,,,,,,,,
01/01/06 07:00:00.0,-4.33,-8.65,-7.94,-7.42,-6.40,-7.50,-7.68,-0.99,-5.81,-7.16,-6.48,-7.33,-7.68,-8.91,-7.08,-5.81,,-3.14,,,,,,,,,,,
01/01/06 08:00:00.0,-4.82,-8.91,-8.38,-7.85,-6.82,-7.85,-7.85,-1.06,-6.23,-7.85,-6.82,-7.76,-7.85,-9.19,-7.42,-6.23,,-2.90,,,,,,,,,,,
01/01/06 09:00:00.0,-5.23,-9.46,-8.82,-8.20,-7.08,-8.38,-8.56,-1.51,-6.65,-7.85,-7.25,-8.12,-8.47,-9.74,-8.03,-6.65,,-2.90,,,,,,,,,,,
01/01/06 10:00:00.0,-5.89,-9.92,-9.37,-8.38,-7.33,-8.91,-8.91,-1.66,-6.91,-7.85,-7.42,-8.38,-8.82,-10.01,-8.38,-6.82,,-2.90,,,,,,,,,,,
01/01/06 11:00:00.0,-5.31,-9.83,-9.46,-8.91,-7.16,-8.91,-8.91,-1.44,-7.33,-7.42,-7.33,-8.38,-8.82,-10.01,-8.38,-7.08,,-2.90,,,,,,,,,,,
01/01/06 12:00:00.0,-4.58,-9.83,-9.09,-8.47,-6.57,-8.91,-8.91,-1.06,-6.99,-7.94,-7.16,-8.29,-8.38,-10.01,-8.29,-6.74,,-2.90,,,,,,,,,,,
01/01/06 13:00:00.0,-2.52,-9.92,-8.29,-7.85,-6.24,-8.65,-9.00,-0.16,-6.91,-7.16,-6.31,-7.85,-7.85,-10.38,-7.68,-5.57,,-2.90,,,,,,,,,,,
01/01/06 14:00:00.0,-0.76,-10.01,-6.57,-7.68,-6.15,-8.29,-10.01,0.58,-7.08,-6.99,-5.40,-6.65,-6.99,-11.23,-6.03,-5.91,,-2.90,,,,,,,,,,,
01/01/06 15:00:00.0,-0.91,-9.74,-5.31,-7.68,-4.58,-7.42,-10.10,1.10,-6.82,-7.50,-4.74,-5.73,-5.81,-11.04,-6.65,-6.82,,-2.90,,,,,,,,,,,
01/01/06 16:00:00.0,-0.91,-9.46,-5.48,-7.16,-4.90,-7.50,-10.19,1.17,-6.57,-8.56,-4.90,-5.73,-6.57,-10.75,-6.74,-5.64,,-2.90,,,,,,,,,,,
01/01/06 17:00:00.0,-1.67,-9.46,-7.77,-7.86,-5.64,-7.94,-10.29,1.60,-6.82,-9.83,-5.31,-6.91,-6.65,-10.56,-6.48,-7.16,,-2.90,,,,,,,,,,,
01/01/06 18:00:00.0,-3.06,-9.55,-8.65,-9.74,-6.40,-8.92,-10.56,0.73,-7.77,-10.19,-6.14,-8.29,-8.47,-10.56,-6.57,-8.03,,-2.90,,,,,,,,,,,
01/01/06 19:00:00.0,-4.74,-9.55,-9.83,-11.32,-7.08,-10.38,-10.75,0.51,-9.19,-10.56,-7.59,-9.28,-9.74,-10.19,-7.08,-9.46,,-2.90,,,,,,,,,,,
01/01/06 20:00:00.0,-5.07,-9.09,-10.01,-11.70,-7.33,-10.75,-10.75,0.88,-10.01,-10.56,-7.68,-9.00,-10.01,-10.01,-6.31,-10.01,,-2.90,,,,,,,,,,,
01/01/06 21:00:00.0,-5.31,-8.91,-9.92,-12.29,-7.85,-11.13,-11.13,0.88,-10.75,-10.29,-7.94,-9.83,-10.85,-9.74,-7.08,-10.38,,-2.90,,,,,,,,,,,
01/01/06 22:00:00.0,-4.82,-8.47,-10.94,-12.39,-8.29,-10.66,-10.85,1.10,-11.13,-9.46,-9.01,-11.42,-10.75,-9.28,-10.29,-10.66,,-2.90,,,,,,,,,,,
01/01/06 23:00:00.0,-4.58,-8.38,-10.47,-12.29,-8.12,-10.56,-9.74,0.51,-11.13,-8.56,-9.10,-11.42,-10.56,-7.85,-9.23,-10.56,,-2.90,,,,,,,,,,,
01/02/06 00:00:00.0,-3.37,-7.42,-9.28,-11.80,-8.03,-9.83,-8.92,0.87,-10.75,-7.85,-8.22,-10.01,-10.47,-7.42,-4.90,-10.01,,-2.90,,,,,,,,,,,
01/02/06 01:00:00.0,-3.29,-7.33,-8.91,-10.20,-7.85,-8.74,-7.59,1.09,-9.19,-7.76,-5.07,-7.19,-10.01,-7.25,-4.41,-9.00,,-2.90,,,,,,,,,,,
01/02/06 02:00:00.0,-2.59,-7.33,-8.47,-8.83,-7.51,-7.94,-7.25,2.89,-7.08,-7.25,-4.74,-5.81,-9.74,-7.42,-5.07,-8.47,,-2.90,,,,,,,,,,,
01/02/06 03:00:00.0,-1.59,-7.33,-7.59,-8.12,-6.40,-7.68,-7.42,3.31,-6.31,-7.08,-4.66,-5.81,-9.46,-7.85,-5.07,-7.59,,-2.90,,,,,,,,,,,
01/02/06 04:00:00.0,-1.44,-7.59,-7.85,-7.68,-6.23,-7.33,-6.82,3.31,-5.81,-7.42,-4.90,-6.14,-9.09,-8.29,-5.64,-6.74,,-2.90,,,,,,,,,,,
01/02/06 05:00:00.0,-2.52,-8.12,-7.85,-7.59,-6.48,-7.50,-6.82,2.10,-6.06,-5.98,-5.64,-6.14,-8.73,-7.00,-5.89,-6.40,,-2.90,,,,,,,,,,,
01/02/06 06:00:00.0,-3.30,-6.57,-6.57,-6.15,-6.82,-5.56,-5.98,3.31,-4.17,-6.23,-4.09,-4.49,-6.82,-6.14,-5.56,-5.32,,-2.90,,,,,,,,,,,
01/02/06 07:00:00.0,-1.82,-6.14,-5.48,-5.39,-6.06,-4.82,-5.15,3.17,-3.85,-6.31,-3.85,-4.33,-5.81,-5.81,-6.06,-4.33,,-2.90,,,,,,,,,,,
01/02/06 08:00:00.0,-1.14,-5.64,-4.98,-5.07,-6.48,-4.17,-4.82,3.88,-3.22,-5.39,-3.45,-3.85,-5.07,-5.39,-6.82,-3.85,,-2.90,,,,,,,,,,,
01/02/06 09:00:00.0,-0.39,-5.39,-4.82,-4.82,-6.48,-4.17,-4.33,4.22,-3.29,-5.73,-3.29,-3.61,-4.98,-5.23,-6.40,-3.37,,-2.90,,,,,,,,,,,
01/02/06 10:00:00.0,-0.01,-5.31,-4.74,-4.82,-6.31,-3.93,-4.33,4.71,-2.82,-5.07,-3.14,-3.37,-4.82,-4.98,-6.31,-3.37,,-2.90,,,,,,,,,,,
01/02/06 11:00:00.0,0.95,-4.82,-4.33,-3.85,-5.81,-3.45,-4.33,5.47,-2.13,-4.82,-1.82,-3.14,-4.33,-5.31,-6.14,-2.44,,-2.90,,,,,,,,,,,
