"Mean Hourly Temperature (°C) for all sites, 01/01/07 thru 12/31/07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Bald Mesa,Beaver Basin,Burro Pass Tr,Dry Fk Mill Cr,E Mt Peale,Geyser Pass,Gold Basin,Grand-view,Horse Cr,La Sal Pass,L. Beaver,Mellenthin Meadows,Moonlight Meadows,Mt Mellenthin,N Peale RG,Wet Fk Mill Cr,Upper Dk Can,Upper Dk Can 2,Boren Mesa,Brumley Ridge,Chicken Creek,Clark Lake,Dinosaur Tracks,East Dark Canyon,Hwy 46 La Sal,Lower Geyser Pass Rd,La Sal Pass Junction,South Beaver Mesa,Warner Meadows,Mellenthin Ridge,Burro Pass,Horse Creek barologger
Logger S/N,532797,532798,533551,555505,533560,555501,441384,555497,532800,555506,710738,695788,625100,555494,532801,555502,555498,710739,733938,1001871,1001873,733939,625102,1001872,984395,733937,1001874,710736,733935,710737,733936,1094012
Elevation (m),2707.00,3378,3329,3232,3073,3207,3186,2204,3037,3091,3125,3195,3280,3445,3223,2988,3518,3512,2866,2354,2473,2863,2598,3253,2317,2503,2377,2537,2869,3375,3412,3037
Date/Time,BMS,UBB,BPT,DFM,EMP,GEP,GOB,GRV,HCR,LSP,LBB,MEM,MOM,MEL,NPE,WFM,UDC,UD2,BOR,BRR,CCR,CLK,DIN,EDC,HWY,LGP,LPJ,SBM,WME,MER,BPA,HCB
01/01/07 00:00:00.0,-2.82,-4.98,-6.57,,-3.37,-5.98,-4.82,-1.59,-8.29,-5.98,-5.32,-6.82,-5.64,-4.90,-5.73,-6.65,,-3.37,-2.98,-0.24,-4.98,-8.73,-4.49,-3.93,-3.77,-0.76,-4.66,-4.33,-3.53,,,
01/01/07 01:00:00.0,-3.21,-5.15,-6.14,,-3.77,-6.57,-4.82,-2.05,-8.38,-5.89,-6.57,-6.82,-5.89,-5.64,-4.58,-6.31,,-3.37,-2.98,-1.98,-4.82,-8.65,-3.85,-4.33,-3.61,-1.36,-4.41,-4.01,-3.45,,,
01/01/07 02:00:00.0,-2.90,-5.73,-5.81,,-4.33,-6.31,-4.58,-2.05,-8.38,-5.81,-6.31,-6.74,-6.48,-5.81,-3.53,-6.31,,-3.37,-2.90,-1.51,-4.90,-8.91,-3.53,-4.49,-3.45,-1.44,-4.33,-3.85,-3.45,,,
01/01/07 03:00:00.0,-3.54,-5.81,-6.91,,-4.98,-6.31,-5.23,-1.97,-8.56,-5.81,-6.48,-6.91,-6.91,-5.81,-4.75,-6.74,,-3.37,-2.98,-2.83,-4.90,-9.37,-3.94,-4.58,-3.85,-2.28,-4.82,-3.93,-3.85,,,
01/01/07 04:00:00.0,-5.15,-6.31,-8.38,,-5.15,-6.91,-6.23,-2.75,-9.64,-6.82,-7.68,-8.65,-6.99,-6.40,-6.74,-7.08,,-3.37,-3.53,-4.01,-4.83,-10.75,-6.14,-5.65,-3.93,-3.69,-4.66,-5.15,-5.07,,,
01/01/07 05:00:00.0,-6.48,-6.82,-9.10,,-5.73,-7.68,-6.57,-3.06,-10.47,-7.42,-9.37,-9.92,-6.82,-7.16,-4.41,-7.76,,-3.37,-4.82,-4.33,-5.82,-11.70,-7.33,-6.82,-4.74,-3.85,-5.39,-6.06,-6.06,,,
01/01/07 06:00:00.0,-5.73,-6.57,-9.37,,-5.81,-7.85,-6.99,-2.82,-10.75,-7.85,-10.47,-10.56,-6.65,-7.34,-7.69,-8.73,,-3.37,-4.33,-4.74,-6.99,-12.00,-5.99,-7.16,-5.31,-4.49,-5.73,-6.57,-6.06,,,
01/01/07 07:00:00.0,-5.23,-6.31,-9.09,,-5.89,-6.99,-6.82,-2.52,-10.66,-7.42,-10.47,-9.83,-6.31,-7.42,-8.82,-8.65,,-3.37,-4.82,-4.33,-6.99,-11.70,-5.73,-6.65,-4.98,-4.41,-5.81,-6.57,-6.14,,,
01/01/07 08:00:00.0,-4.34,-6.23,-7.94,,-5.56,-6.91,-6.99,-1.90,-10.19,-7.08,-9.46,-9.28,-6.31,-6.74,-8.20,-8.29,,-3.37,-4.25,-3.61,-5.82,-11.04,-5.65,-6.14,-4.25,-3.69,-3.71,-5.31,-5.56,,,
01/01/07 09:00:00.0,-1.82,-5.73,-6.48,,-4.66,-5.81,-6.23,-2.05,-9.64,-6.23,-8.03,-7.94,-5.89,-5.73,-6.40,-7.85,,-3.37,-3.77,-1.75,-2.45,-9.92,-1.44,-5.56,-1.54,-1.37,0.11,-2.67,-4.66,,,
01/01/07 10:00:00.0,0.87,-5.07,-4.09,,-3.14,-4.25,-5.90,-0.69,-8.47,-4.82,-6.66,-5.16,-4.25,-5.48,-4.82,-7.16,,-3.37,-2.90,1.59,0.73,-8.29,1.88,-4.33,2.32,1.53,4.29,0.58,-1.07,,,
01/01/07 11:00:00.0,2.03,-3.77,-2.44,,-1.74,-3.45,-5.64,0.73,-6.31,-3.77,-4.09,-3.06,-3.06,-4.74,-3.69,-6.32,,-3.37,-2.05,3.38,2.46,-6.15,4.98,-2.75,3.59,1.82,6.42,3.36,-0.31,,,
01/01/07 12:00:00.0,1.31,-4.17,-3.37,,-2.13,-3.37,-4.90,0.66,-4.74,-3.37,-3.85,-2.98,-3.29,-5.56,-3.53,-3.46,,-3.37,-1.97,3.31,2.53,-4.58,3.44,-2.90,1.96,1.31,4.22,3.31,-0.76,,,
01/01/07 13:00:00.0,0.95,-4.33,-3.77,,-2.13,-2.98,-4.17,0.44,-4.17,-3.14,-3.61,-2.67,-3.21,-5.56,-3.61,-2.98,,-3.37,-1.51,2.89,3.73,-2.98,0.95,-3.14,3.59,1.96,5.73,2.03,-0.39,,,
01/01/07 14:00:00.0,2.32,-4.49,-2.91,,-1.97,-2.82,-4.74,1.38,-3.85,-2.90,-3.37,-1.29,-2.36,-5.81,-4.17,-2.52,,-3.37,-0.24,3.66,4.92,-2.59,1.09,-2.05,4.08,3.67,6.21,3.59,1.53,,,
01/01/07 15:00:00.0,2.89,-5.23,-4.33,,-2.52,-3.21,-5.15,2.03,-4.01,-3.14,-3.45,-2.67,-2.90,-6.23,-5.23,-0.16,,-3.37,-0.16,2.82,4.15,-3.61,1.38,-2.83,3.80,3.38,3.80,3.87,1.10,,,
01/01/07 16:00:00.0,1.31,-5.56,-4.82,,-3.14,-4.17,-5.56,0.79,-4.17,-4.17,-4.41,-5.07,-4.82,-6.31,-6.82,-2.21,,-3.37,-0.76,0.94,3.17,-3.93,-0.84,-4.17,2.46,3.17,2.75,1.57,-0.01,,,
01/01/07 17:00:00.0,-2.05,-6.23,-5.40,,-3.93,-5.56,-6.06,-1.14,-5.40,-5.23,-6.32,-8.12,-6.31,-6.48,-8.65,-3.45,,-3.37,-2.44,-1.90,0.58,-5.81,-2.75,-5.23,-1.52,0.05,-0.84,-3.78,-2.90,,,
01/01/07 18:00:00.0,-2.83,-6.74,-5.81,,-4.49,-6.91,-6.31,-1.66,-7.25,-5.89,-8.56,-9.19,-6.82,-6.65,-9.46,-4.82,,-3.37,-2.82,-2.52,-0.99,-7.16,-3.77,-5.89,-2.28,-1.06,-1.66,-4.98,-3.53,,,
01/01/07 19:00:00.0,-2.90,-6.57,-5.81,,-4.74,-7.42,-6.65,-1.74,-8.74,-6.40,-9.64,-9.74,-6.99,-6.31,-9.92,-5.89,,-3.37,-2.82,-2.67,-2.28,-8.56,-4.33,-6.31,-3.61,-1.51,-3.07,-5.15,-3.85,,,
01/01/07 20:00:00.0,-2.52,-6.74,-6.31,,-4.74,-7.25,-6.74,-2.13,-9.46,-6.82,-10.10,-9.83,-6.82,-6.14,-10.01,-6.91,,-3.37,-3.37,-2.36,-2.59,-10.01,-4.90,-5.98,-3.77,-1.74,-3.14,-5.81,-4.17,,,
01/01/07 21:00:00.0,-2.75,-6.57,-8.29,,-4.82,-6.82,-7.25,-2.59,-9.83,-6.48,-10.19,-9.46,-5.89,-6.48,-10.38,-7.42,,-3.37,-2.90,-1.82,-2.75,-10.66,-2.76,-6.23,-4.41,-1.29,-3.69,-4.66,-4.25,,,
01/01/07 22:00:00.0,-2.75,-6.48,-8.73,,-5.31,-6.82,-6.48,-2.44,-10.10,-6.14,-10.47,-9.74,-5.48,-6.65,-10.47,-7.85,,-3.37,-2.44,-2.28,-2.52,-11.32,-2.98,-6.48,-4.98,-1.59,-3.77,-4.25,-4.82,,,
01/01/07 23:00:00.0,-3.37,-6.31,-8.91,,-4.82,-7.16,-6.99,-2.36,-10.47,-5.81,-10.56,-9.92,-6.06,-6.23,-10.75,-7.76,,-3.37,-2.75,-3.14,-4.10,-11.51,-5.56,-6.23,-5.64,-1.74,-3.70,-5.98,-5.07,,,
01/02/07 00:00:00.0,-3.30,-5.98,-8.91,,-4.82,-6.82,-6.99,-2.59,-11.04,-6.23,-10.85,-10.01,-5.98,-6.40,-10.85,-8.20,,-3.37,-2.98,-3.06,-5.07,-12.00,-4.50,-6.06,-6.23,-1.89,-4.98,-5.81,-5.31,,,
01/02/07 01:00:00.0,-2.83,-6.48,-9.46,,-4.82,-6.40,-7.51,-3.22,-11.13,-6.65,-10.85,-9.83,-6.06,-7.85,-10.48,-7.94,,-3.37,-2.90,-2.83,-5.56,-12.39,-4.75,-5.98,-5.48,-1.82,-4.66,-5.31,-5.56,,,
01/02/07 02:00:00.0,-2.67,-6.40,-9.64,,-4.82,-6.57,-7.76,-3.77,-11.13,-6.91,-11.04,-9.74,-6.40,-8.03,-10.10,-8.03,,-3.37,-2.90,-3.37,-5.98,-12.59,-6.31,-5.81,-6.40,-1.90,-4.98,-6.40,-5.81,,,
01/02/07 03:00:00.0,-3.85,-5.98,-9.37,,-4.41,-6.31,-7.42,-3.85,-11.51,-6.65,-11.23,-10.10,-6.23,-8.38,-10.75,-8.29,,-3.37,-2.67,-3.61,-6.14,-12.88,-6.99,-5.64,-6.48,-2.83,-5.39,-6.74,-5.81,,,
01/02/07 04:00:00.0,-4.01,-6.23,-9.46,,-4.98,-6.40,-7.85,-3.37,-11.70,-6.40,-11.61,-10.56,-6.06,-8.12,-10.66,-8.38,,-3.37,-2.90,-4.01,-6.40,-13.49,-6.91,-5.89,-7.33,-3.61,-5.98,-6.65,-6.14,,,
01/02/07 05:00:00.0,-3.14,-6.48,-9.09,,-5.31,-6.57,-7.76,-3.37,-12.09,-6.91,-11.70,-10.47,-6.31,-8.20,-10.47,-8.56,,-3.37,-2.98,-3.53,-6.40,-13.69,-5.07,-6.65,-7.42,-2.75,-5.39,-5.89,-6.14,,,
01/02/07 06:00:00.0,-3.69,-6.82,-8.73,,-4.98,-6.57,-7.68,-3.77,-12.29,-7.42,-11.70,-10.19,-6.40,-8.03,-10.75,-8.56,,-3.37,-3.37,-3.53,-6.74,-14.10,-3.85,-6.06,-7.68,-2.67,-6.14,-5.73,-6.06,,,
01/02/07 07:00:00.0,-4.02,-6.14,-8.73,,-4.74,-6.23,-7.25,-4.33,-12.29,-6.74,-11.70,-10.19,-5.89,-7.59,-11.13,-8.65,,-3.37,-3.06,-4.25,-6.74,-13.90,-4.59,-6.06,-7.33,-2.90,-5.40,-5.40,-5.98,,,
01/02/07 08:00:00.0,-2.15,-4.50,-7.09,,-4.09,-5.56,-6.82,-3.45,-12.00,-5.89,-11.32,-9.10,-5.23,-6.15,-9.20,-8.12,,-3.37,-2.98,-4.10,-4.03,-13.19,-1.26,-5.15,-4.91,-2.44,0.72,-4.51,-5.98,,,
01/02/07 09:00:00.0,0.58,-4.33,-4.42,,-2.83,-4.25,-6.14,-3.37,-10.76,-4.90,-9.83,-6.08,-4.58,-4.99,-4.19,-7.94,,-3.37,-2.28,-1.07,0.93,-11.33,0.95,-4.09,-0.32,0.88,7.76,-0.17,-3.86,,,
01/02/07 10:00:00.0,2.67,-3.53,-1.45,,-1.14,-2.67,-5.31,-1.83,-8.47,-3.38,-6.67,-1.98,-2.21,-4.09,-1.67,-6.74,,-3.37,-0.84,1.16,2.68,-9.01,3.66,-2.75,0.58,2.25,5.74,1.60,0.64,,,
01/02/07 11:00:00.0,3.10,-2.36,-0.16,,0.49,-1.51,-4.58,-0.01,-6.15,-1.90,-3.53,-0.39,-1.14,-4.01,-1.06,-5.89,,-3.37,0.14,2.89,4.01,-6.49,7.96,-1.97,1.53,2.89,6.89,3.72,1.82,,,
01/02/07 12:00:00.0,2.95,-2.90,0.51,,-0.61,-0.61,-5.23,0.36,-4.25,-1.74,-2.59,0.14,-0.84,-4.82,-1.26,-2.60,,-3.37,0.58,3.03,4.02,-4.82,7.81,-0.61,2.24,2.17,5.54,6.42,1.96,,,
01/02/07 13:00:00.0,3.46,-3.37,0.88,,-0.39,0.66,-4.98,0.73,-3.53,-1.29,-2.13,0.36,-0.39,-4.74,-3.77,-1.98,,-3.37,1.10,3.10,4.50,-3.30,4.71,-0.46,3.87,3.24,5.19,5.33,3.38,,,
01/02/07 14:00:00.0,3.45,-3.37,-0.54,,-1.21,-0.61,-4.74,0.95,-3.14,-1.89,-2.28,-0.16,-0.61,-4.33,-3.85,-1.98,,-3.37,1.31,2.46,3.88,-2.90,2.39,-0.61,2.89,3.46,4.50,4.15,2.67,,,
01/02/07 15:00:00.0,1.31,-3.93,-2.36,,-1.82,-1.59,-5.07,0.58,-3.69,-2.28,-2.82,-1.59,-1.44,-4.58,-4.74,-0.69,,-3.37,0.14,0.80,4.01,-3.37,0.95,-1.90,3.03,2.32,3.52,3.66,0.88,,,
01/02/07 16:00:00.0,1.31,-4.33,-2.90,,-2.59,-2.67,-4.58,0.51,-4.90,-3.37,-3.85,-4.34,-2.36,-4.74,-5.89,-1.90,,-3.37,0.07,-0.09,2.74,-4.41,0.66,-2.83,0.65,2.96,1.45,0.94,0.80,,,
01/02/07 17:00:00.0,-1.75,-3.85,-3.21,,-2.98,-3.29,-5.23,-0.99,-6.23,-3.85,-5.40,-5.89,-2.82,-4.49,-6.23,-3.06,,-3.37,-1.67,-2.44,-0.26,-5.89,0.07,-3.69,-2.28,-0.32,-1.37,-1.82,-2.21,,,
